nickname,id,country,rating,averageCombatScore,roundsPlayed,averageDamagePerRound,kdRatio,kills,deaths,assists,killsPerRound,deathsPerRound,assistsPerRound,headshotPercentage,firstBloods,firstBloods,firstBloodSuccessRate,firstBloodPerRound,firstDeathPerRound
sunkissed,51629,Europe,1.57,313.3,1152,198.8,1.67,1296,776,240,1.13,0.67,0.21,25,244,244,70,0.21,0.09
CG Akita,69854,Europe,1.52,307.0,966,199.7,1.50,1029,684,255,1.07,0.71,0.26,30,192,192,61,0.20,0.13
soulcas,50,United Kingdom,1.48,277.4,758,182.4,1.84,764,416,290,1.01,0.55,0.38,35,94,94,64,0.12,0.07
Sara,64206,Europe,1.42,291.5,992,191.3,1.52,1022,674,176,1.03,0.68,0.18,31,238,238,67,0.24,0.12
DREAM,62760,Europe,1.42,259.7,1610,167.0,1.70,1530,900,625,0.95,0.56,0.39,28,90,90,60,0.06,0.04
Meryś,45379,Europe,1.38,288.2,392,195.7,1.53,416,272,60,1.06,0.69,0.15,30,92,92,72,0.23,0.09
Janevra,46988,Turkey,1.37,267.4,303,185.0,1.64,300,183,63,0.99,0.60,0.21,43,39,39,72,0.13,0.05
Queen Puffy,6397,United Kingdom,1.35,290.6,1190,179.9,1.24,1215,980,220,1.02,0.82,0.18,24,345,345,54,0.29,0.24
AnnaKabana,50863,United Kingdom,1.35,276.8,1165,174.6,1.26,1100,875,300,0.94,0.75,0.26,21,240,240,61,0.21,0.13
majusia,34816,Poland,1.35,270.4,819,176.8,1.43,777,543,219,0.95,0.66,0.27,31,183,183,64,0.22,0.12
Miiizzy,33903,Denmark,1.35,254.6,2135,164.8,1.42,1904,1337,812,0.89,0.63,0.38,24,294,294,55,0.14,0.11
Emlux,40050,Sweden,1.34,279.4,1685,176.8,1.34,1585,1180,355,0.94,0.70,0.21,24,390,390,58,0.23,0.17
anesilia,62781,Europe,1.34,233.4,432,162.5,1.79,354,198,204,0.82,0.46,0.47,26,42,42,78,0.10,0.03
Cunha20,49169,Portugal,1.34,223.0,407,145.8,1.48,344,233,191,0.85,0.57,0.47,42,33,33,56,0.08,0.06
Pitou,23877,France,1.32,280.4,525,181.4,1.30,504,387,123,0.96,0.74,0.23,21,105,105,63,0.20,0.12
Anq,8475,Russian Federation,1.32,272.5,2890,173.5,1.49,2805,1880,405,0.97,0.65,0.14,27,595,595,59,0.21,0.14
Click,14418,Germany,1.31,279.3,2376,179.1,1.24,2308,1856,364,0.97,0.78,0.15,31,696,696,64,0.29,0.16
Wezy,55223,Europe,1.3,268.4,390,177.8,1.33,364,274,88,0.93,0.70,0.23,33,72,72,55,0.18,0.15
