nickname,id,country,rating,averageCombatScore,roundsPlayed,averageDamagePerRound,kdRatio,kills,deaths,assists,killsPerRound,deathsPerRound,assistsPerRound,headshotPercentage,firstBloods,firstDeaths,firstBloodSuccessRate,firstBloodPerRound,firstDeathPerRound
RIG DH,68275,Japan,1.49,300.8,320,191.5,1.47,338,230,68,1.06,0.72,0.21,30,60,36,63,0.19,0.11
citrous,17053,Japan,1.28,225.8,402,147.9,1.19,315,264,201,0.78,0.66,0.50,24,27,15,64,0.07,0.04
Meru,49099,Japan,1.24,212.8,537,141.0,1.21,408,336,333,0.76,0.63,0.62,20,21,57,27,0.04,0.11
Meiy,8173,Japan,1.19,259.5,502,166.0,1.14,446,392,88,0.89,0.78,0.18,25,100,78,56,0.20,0.16
Ayanami,49115,Japan,1.19,246.6,394,151.9,1.24,346,280,84,0.88,0.71,0.21,19,56,88,39,0.14,0.22
SyouTa,23476,Japan,1.18,248.1,720,164.7,1.25,647,519,119,0.90,0.72,0.17,26,138,125,52,0.19,0.17
onni,49101,Japan,1.16,231.4,306,145.3,1.34,258,192,76,0.84,0.63,0.25,28,42,30,58,0.14,0.10
Dep,741,Japan,1.15,245.4,442,157.4,1.15,382,332,73,0.86,0.75,0.17,28,86,74,54,0.19,0.17
Yoshi,5507,Japan,1.14,237.5,436,166.3,1.22,385,315,82,0.88,0.72,0.19,27,62,57,52,0.14,0.13
samechan,49122,Japan,1.14,216.4,426,139.8,1.15,322,280,174,0.76,0.66,0.41,18,30,52,37,0.07,0.12
bazz,8258,Japan,1.13,227.8,326,145.1,0.97,250,258,120,0.77,0.79,0.37,30,38,46,45,0.12,0.14
Ippanjinnoarare,46278,Japan,1.12,224.8,322,146.5,1.24,250,202,106,0.78,0.63,0.33,19,38,26,59,0.12,0.08
thiefy,8176,Japan,1.11,225.8,504,148.8,1.08,398,369,146,0.79,0.73,0.29,23,55,47,54,0.11,0.09
Gwangboong,66272,Japan,1.1,234.7,616,157.0,1.19,500,421,135,0.81,0.68,0.22,22,114,98,54,0.19,0.16
Nth Wolverine,68272,Japan,1.07,229.3,504,146.6,1.10,416,378,77,0.83,0.75,0.15,31,96,98,49,0.19,0.19
YuRinChi 愛,65337,Japan,1.07,215.3,394,130.9,1.15,296,258,96,0.75,0.65,0.24,22,48,30,62,0.12,0.08
FL Xdll,69025,Japan,1.07,213.0,622,146.3,1.08,472,437,189,0.76,0.70,0.30,26,68,61,53,0.11,0.10
gatorada,62100,Japan,1.07,189.6,616,118.4,1.03,407,396,293,0.66,0.64,0.48,22,49,35,58,0.08,0.06
NOBITA,8369,Japan,1.06,202.0,616,135.3,1.12,442,394,200,0.72,0.64,0.32,26,43,39,52,0.07,0.06
clz,2007,Japan,1.06,198.5,720,132.2,1.09,521,478,263,0.72,0.66,0.37,31,54,57,49,0.08,0.08
Misaya,18838,Japan,1.06,188.9,616,116.8,0.94,392,416,315,0.64,0.68,0.51,16,43,54,44,0.07,0.09
komikku,8398,Japan,1.05,209.7,402,133.3,1.17,315,270,93,0.78,0.67,0.23,33,33,45,42,0.08,0.11
BRIAN,46181,Japan,1.03,212.6,1188,147.1,1.09,906,832,306,0.76,0.70,0.26,28,164,146,53,0.14,0.12
xnfri ,8235,Japan,1.03,200.0,1212,140.6,1.06,903,852,405,0.75,0.70,0.33,34,111,105,51,0.09,0.09
GON,8174,Japan,1.03,189.3,720,128.4,1.06,496,470,287,0.69,0.65,0.40,25,48,43,53,0.07,0.06
cypressgirl,49108,Japan,1.02,201.4,342,128.2,0.96,237,246,120,0.69,0.72,0.35,23,21,27,44,0.06,0.08
Tonbo,543,Japan,1.01,203.3,539,144.9,1.11,414,374,142,0.77,0.69,0.26,32,45,22,67,0.08,0.04
Zan,29431,Japan,0.99,209.5,402,134.6,0.89,291,327,108,0.72,0.81,0.27,16,72,72,50,0.18,0.18
Hals,54118,Japan,0.99,194.2,1188,137.4,1.10,842,764,342,0.71,0.64,0.29,22,80,110,42,0.07,0.09
Mochirrrr,53909,Japan,0.99,183.8,426,116.1,0.91,258,282,204,0.61,0.66,0.48,18,30,26,54,0.07,0.06
Daimyo,21311,Japan,0.98,201.4,545,129.3,0.92,380,415,200,0.70,0.76,0.37,32,25,65,28,0.05,0.12
Neu,66145,Japan,0.98,175.7,394,108.9,1.08,262,242,142,0.66,0.61,0.36,18,20,28,42,0.05,0.07
Phantom,18868,Japan,0.97,210.4,326,145.4,1.07,242,226,56,0.74,0.69,0.17,21,28,34,45,0.09,0.10
TenzouEz,23468,Japan,0.97,182.7,436,125.3,1.08,308,285,134,0.71,0.65,0.31,33,26,35,43,0.06,0.08
みちゅ,49069,Japan,0.97,169.1,576,110.6,0.99,357,360,261,0.62,0.63,0.45,22,18,39,32,0.03,0.07
Luca,61734,Japan,0.96,199.0,320,129.1,1.13,238,210,46,0.74,0.66,0.14,33,36,40,47,0.11,0.13
yuran,46185,Japan,0.96,197.6,442,133.4,0.96,298,309,131,0.67,0.70,0.30,26,37,38,49,0.08,0.09
SugarZ3ro,8026,Japan,0.96,176.7,442,115.5,0.96,280,292,182,0.63,0.66,0.41,31,15,31,33,0.03,0.07
Biju,8114,Japan,0.95,176.4,539,126.1,1.00,365,366,194,0.68,0.68,0.36,24,45,43,51,0.08,0.08
心瑚都,65355,Japan,0.94,187.1,368,121.9,0.98,242,246,132,0.66,0.67,0.36,17,22,28,44,0.06,0.08
Reita,2,Japan,0.94,185.8,539,135.8,0.98,375,382,169,0.70,0.71,0.31,26,54,43,56,0.10,0.08
muto,29483,Japan,0.94,173.6,1782,121.7,0.94,1092,1161,660,0.61,0.65,0.37,28,114,108,51,0.06,0.06
Vaix,49084,Japan,0.93,198.4,393,134.8,0.95,279,294,57,0.71,0.75,0.15,24,69,78,47,0.18,0.20
Laz,1,Japan,0.93,196.5,442,133.1,1.07,312,292,71,0.71,0.66,0.16,25,50,32,61,0.11,0.07
くらえねこぱんち,49103,Japan,0.92,190.5,426,122.8,0.96,282,294,112,0.66,0.69,0.26,25,64,52,55,0.15,0.12
oitaN,1844,Japan,0.92,179.1,467,119.2,0.83,283,341,197,0.61,0.73,0.42,31,24,37,39,0.05,0.08
Absol,58250,Japan,0.9,187.9,1078,132.3,0.95,758,796,210,0.70,0.74,0.19,19,148,142,51,0.14,0.13
taru,54159,Japan,0.89,158.7,304,102.8,0.79,178,224,132,0.59,0.74,0.43,24,10,24,29,0.03,0.08
zepher,544,Japan,0.88,186.0,808,132.0,1.01,552,546,152,0.68,0.68,0.19,27,96,74,56,0.12,0.09
HaReeee,742,Japan,0.88,178.8,467,119.1,0.82,289,354,135,0.62,0.76,0.29,31,37,36,51,0.08,0.08
hiroronn,18862,Japan,0.87,168.4,442,109.9,0.81,255,314,160,0.58,0.71,0.36,30,31,51,38,0.07,0.12
million,555,Japan,0.86,170.1,539,119.4,0.79,317,401,247,0.59,0.74,0.46,16,52,87,37,0.10,0.16
Pepper,101,Japan,0.86,161.4,504,109.4,0.91,287,317,187,0.57,0.63,0.37,23,17,23,43,0.03,0.05
MeetPieN,58297,Japan,0.86,148.5,320,91.1,0.82,168,204,124,0.53,0.64,0.39,25,18,24,43,0.06,0.08
BlackWiz,1951,Japan,0.82,157.1,1212,107.9,0.81,681,840,429,0.56,0.69,0.35,29,87,123,41,0.07,0.10
YoWamu,58233,Japan,0.81,156.3,1008,105.3,0.78,550,708,364,0.55,0.70,0.36,29,46,92,33,0.05,0.09
