nickname,id,country,rating,averageCombatScore,roundsPlayed,averageDamagePerRound,kdRatio,kills,deaths,assists,killsPerRound,deathsPerRound,assistsPerRound,headshotPercentage,firstBloods,firstDeaths,firstBloodSuccessRate,firstBloodPerRound,firstDeathPerRound
unstable,42690,South Korea,1.31,256.4,11242,158.7,1.43,10318,7210,2744,0.92,0.64,0.24,31,2184,1526,59,0.19,0.14
DoHee,65611,South Korea,1.24,264.2,384,168.3,1.20,338,282,104,0.88,0.73,0.27,18,80,84,49,0.21,0.22
HANN,3468,South Korea,1.2,253.7,496,161.8,1.14,434,381,99,0.88,0.77,0.20,26,97,70,58,0.20,0.14
Akame,23486,South Korea,1.2,246.0,1188,163.9,1.22,1034,850,228,0.87,0.72,0.19,21,242,168,59,0.20,0.14
HATE,3109,South Korea,1.19,228.5,590,146.4,1.15,474,411,174,0.80,0.70,0.29,38,68,55,55,0.12,0.09
MaKo,3437,South Korea,1.18,219.1,339,149.4,1.33,265,199,129,0.78,0.59,0.38,31,36,21,63,0.11,0.06
SUMM3R,65623,South Korea,1.16,237.6,576,151.1,1.56,495,318,57,0.86,0.55,0.10,30,54,36,60,0.09,0.06
JinboongE,3471,South Korea,1.16,236.3,616,153.5,1.34,525,391,113,0.85,0.63,0.18,34,83,59,58,0.13,0.10
BuZz,3531,South Korea,1.15,247.0,339,158.3,1.14,283,249,73,0.83,0.73,0.22,23,67,48,58,0.20,0.14
LFG Ash1,69600,South Korea,1.14,234.1,590,149.3,1.19,492,412,101,0.83,0.70,0.17,27,109,89,55,0.18,0.15
JaebiN,61550,South Korea,1.13,243.7,684,160.1,1.16,571,493,157,0.83,0.72,0.23,15,126,99,56,0.18,0.14
NS PKM,69571,South Korea,1.11,235.6,588,155.5,1.15,485,421,108,0.82,0.72,0.18,24,116,76,60,0.20,0.13
t3xture,13470,South Korea,1.11,232.6,997,152.4,1.18,833,704,162,0.84,0.71,0.16,27,168,140,55,0.17,0.14
LOB,4074,South Korea,1.1,215.7,404,152.4,1.30,328,253,127,0.81,0.63,0.31,32,19,13,59,0.05,0.03
