nickname,id,country,rating,averageCombatScore,roundsPlayed,averageDamagePerRound,kdRatio,kills,deaths,assists,killsPerRound,deathsPerRound,assistsPerRound,headshotPercentage,firstBloods,firstDeaths,firstBloodSuccessRate,firstBloodPerRound,firstDeathPerRound
Pompano,11840,Mexico,1.44,252.5,342,169.8,1.47,327,222,147,0.96,0.65,0.43,35,24,12,67,0.07,0.04
Drakk,12793,Colombia,1.34,275.9,632,172.8,1.36,606,446,144,0.96,0.71,0.23,29,170,116,59,0.27,0.18
Fresht,43380,Colombia,1.25,232.4,795,157.0,1.32,681,516,255,0.86,0.65,0.32,36,87,30,74,0.11,0.04
Rowancy,18782,Mexico,1.22,231.4,1896,150.0,1.44,1602,1110,558,0.84,0.59,0.29,27,150,132,53,0.08,0.07
Chef,43387,Mexico,1.21,204.0,632,128.1,1.36,478,352,322,0.76,0.56,0.51,18,38,36,51,0.06,0.06
Raven,52975,Mexico,1.17,219.0,5499,147.8,1.19,4257,3564,2007,0.77,0.65,0.36,36,378,306,55,0.07,0.06
NHL ZIDIAN,59507,LATAM North,1.16,233.2,1011,156.3,1.21,840,696,345,0.83,0.69,0.34,17,114,114,50,0.11,0.11
Caz,2475,Puerto Rico,1.13,213.6,438,141.0,1.05,322,306,172,0.74,0.70,0.39,23,40,34,54,0.09,0.08
Mited,12518,Colombia,1.12,215.8,458,141.1,1.23,350,284,151,0.76,0.62,0.33,29,43,44,49,0.09,0.10
RGS Lynxz,69706,LATAM North,1.11,236.0,418,151.6,1.15,342,298,106,0.82,0.71,0.25,21,60,68,47,0.14,0.16
BandiCoot,2464,Colombia,1.11,202.4,1360,131.4,1.02,965,950,670,0.71,0.70,0.49,26,155,190,45,0.11,0.14
TP ezznap ,66285,LATAM North,1.09,186.8,632,116.5,1.14,420,370,296,0.66,0.59,0.47,23,52,42,55,0.08,0.07
seven,13179,Mexico,1.08,204.5,1416,132.6,1.01,996,990,570,0.70,0.70,0.40,24,108,126,46,0.08,0.09
