nickname,id,country,rating,averageCombatScore,roundsPlayed,averageDamagePerRound,kdRatio,kills,deaths,assists,killsPerRound,deathsPerRound,assistsPerRound,headshotPercentage,firstBloods,firstDeaths,firstBloodSuccessRate,firstBloodPerRound,firstDeathPerRound
tok1o,59240,Argentina,1.38,294.4,627,190.8,1.49,621,417,129,0.99,0.67,0.21,26,150,72,68,0.24,0.11
1kuzohh,11025,Chile,1.38,280.2,1926,173.3,1.35,1851,1374,507,0.96,0.71,0.26,27,372,276,57,0.19,0.14
Feysend,14217,Chile,1.31,242.3,320,157.4,1.57,288,184,112,0.90,0.58,0.35,34,40,8,83,0.13,0.03
hops,39328,Chile,1.25,272.8,684,179.3,1.22,638,522,138,0.93,0.76,0.20,25,140,118,54,0.20,0.17
Morita,34066,Chile,1.24,255.6,417,151.7,1.19,357,300,102,0.86,0.72,0.24,29,84,81,51,0.20,0.19
sh0twell,2403,Chile,1.23,237.5,1126,151.5,1.21,906,750,450,0.80,0.67,0.40,25,142,126,53,0.13,0.11
Ruso,54645,Argentina,1.21,247.3,826,159.0,1.29,728,566,192,0.88,0.69,0.23,28,100,108,48,0.12,0.13
pika,35695,Argentina,1.21,222.3,594,142.5,1.25,468,375,252,0.79,0.63,0.42,31,60,21,74,0.10,0.04
conir,5456,Chile,1.21,221.6,518,143.3,1.30,412,318,198,0.80,0.61,0.38,31,44,31,59,0.08,0.06
rubkkoide,11185,Argentina,1.21,215.5,448,141.7,1.33,349,263,172,0.78,0.59,0.38,31,41,26,61,0.09,0.06
bstrdd,5444,Chile,1.2,248.2,567,160.3,1.34,505,378,97,0.89,0.67,0.17,27,107,96,53,0.19,0.17
Rco,54547,Argentina,1.19,228.4,1215,150.8,1.14,984,864,459,0.81,0.71,0.38,28,138,123,53,0.11,0.10
badzw,24821,Chile,1.17,246.3,816,161.8,1.22,696,572,184,0.85,0.70,0.23,26,188,128,59,0.23,0.16
MAZ EvoLuZionz,63904,Chile,1.17,237.6,1914,160.6,1.31,1578,1206,447,0.82,0.63,0.23,23,186,174,52,0.10,0.09
miyeon,58645,Chile,1.17,235.2,2744,151.3,1.08,2244,2072,716,0.82,0.76,0.26,26,460,384,55,0.17,0.14
Naxa,64252,Chile,1.14,253.6,408,165.3,1.15,368,320,78,0.90,0.78,0.19,21,94,74,56,0.23,0.18
meL,66248,Uruguay,1.14,250.9,440,156.4,1.24,386,312,66,0.88,0.71,0.15,27,80,82,49,0.18,0.19
Mathi,59234,Uruguay,1.14,241.0,1239,152.2,1.17,1056,903,216,0.85,0.73,0.17,29,261,249,51,0.21,0.20
Dantedeu5,65855,Argentina,1.14,236.3,494,151.9,1.18,408,346,106,0.83,0.70,0.21,25,79,67,54,0.16,0.14
flop1na,34960,Argentina,1.13,216.7,1074,137.7,1.09,798,735,417,0.74,0.68,0.39,25,105,102,51,0.10,0.09
Necro,57193,Chile,1.13,203.7,1280,137.9,1.12,910,815,630,0.71,0.64,0.49,28,65,105,38,0.05,0.08
kiNgg,11006,Chile,1.12,216.4,354,143.5,1.20,272,227,119,0.77,0.64,0.34,30,23,26,47,0.06,0.07
Forcee,27073,Argentina,1.12,212.9,1108,135.6,1.12,822,734,390,0.74,0.66,0.35,28,82,60,58,0.07,0.05
Leobas,540,Argentina,1.11,210.5,698,141.4,0.98,504,516,302,0.72,0.74,0.43,27,92,104,47,0.13,0.15
Saikiwi,59524,Argentina,1.1,215.0,382,141.2,1.04,281,269,129,0.74,0.70,0.34,32,44,36,55,0.12,0.09
fab,44493,Peru,1.1,208.5,557,135.9,1.14,423,372,185,0.76,0.67,0.33,23,54,47,53,0.10,0.08
Suther,2332,Chile,1.1,191.9,802,124.7,1.18,544,460,400,0.68,0.57,0.50,24,66,66,50,0.08,0.08
Pinky D,43790,LATAM South,1.09,236.7,385,151.9,1.09,317,292,65,0.82,0.76,0.17,28,76,63,55,0.20,0.16
kivary,10947,Chile,1.09,232.1,2748,152.7,1.10,2260,2056,472,0.82,0.75,0.17,25,512,488,51,0.19,0.18
jvhz,27500,Chile,1.09,231.7,1690,151.9,1.13,1378,1224,340,0.82,0.72,0.20,24,338,288,54,0.20,0.17
Ñefry,50359,Peru,1.09,216.1,492,137.3,1.04,366,351,159,0.74,0.71,0.32,21,57,36,61,0.12,0.07
Adverso,2353,Chile,1.08,216.0,494,140.8,1.07,364,340,168,0.74,0.69,0.34,21,62,54,53,0.13,0.11
kr1ss,67241,Chile,1.08,214.8,656,145.9,1.07,490,460,210,0.75,0.70,0.32,25,44,50,47,0.07,0.08
Tio,980,Chile,1.08,211.1,1108,142.0,1.24,828,670,304,0.75,0.60,0.27,21,90,76,54,0.08,0.07
Zebeej,46272,Chile,1.08,203.3,2760,134.4,1.08,2028,1880,948,0.73,0.68,0.34,32,260,240,52,0.09,0.09
NicoMachine,22885,Chile,1.08,201.4,494,130.4,1.00,337,337,222,0.68,0.68,0.45,23,47,35,57,0.10,0.07
