nickname,id,country,rating,averageCombatScore,roundsPlayed,averageDamagePerRound,kdRatio,kills,deaths,assists,killsPerRound,deathsPerRound,assistsPerRound,headshotPercentage,firstBloods,firstDeaths,firstBloodSuccessRate,firstBloodPerRound,firstDeathPerRound
dragon,8231,Australia,1.23,226.7,554,144.1,1.33,440,330,252,0.79,0.60,0.45,33,42,60,41,0.08,0.11
FETA,53540,New Zealand,1.2,262.9,1020,167.8,1.25,909,726,156,0.89,0.71,0.15,29,231,171,57,0.23,0.17
Exirst,37422,Oceania,1.2,246.1,618,163.2,1.31,544,416,84,0.88,0.67,0.14,30,94,46,67,0.15,0.07
poof,54010,Oceania,1.18,245.5,588,156.6,1.21,514,426,100,0.87,0.72,0.17,34,88,84,51,0.15,0.14
M1kE,5027,Australia,1.18,245.1,927,166.2,1.27,798,627,174,0.86,0.68,0.19,28,102,102,50,0.11,0.11
Sinaway,49895,Australia,1.18,239.0,1360,157.5,1.31,1156,880,268,0.85,0.65,0.20,35,128,100,56,0.09,0.07
pyua,2786,Australia,1.16,238.1,354,156.4,1.19,290,244,92,0.82,0.69,0.26,36,28,24,54,0.08,0.07
signed,2835,New Zealand,1.16,218.0,554,143.6,1.34,440,328,168,0.79,0.59,0.30,28,42,26,62,0.08,0.05
phi,21799,Oceania,1.15,204.8,432,132.4,1.13,308,272,204,0.71,0.63,0.47,26,42,18,70,0.10,0.04
McKinley,21789,Australia,1.14,218.0,680,146.1,1.23,528,428,194,0.78,0.63,0.29,28,44,38,54,0.06,0.06
IKANA,44764,Australia,1.14,211.1,516,137.7,1.19,382,320,202,0.74,0.62,0.39,30,24,28,46,0.05,0.05
PeacefulBonobo,55945,Australia,1.13,230.9,578,153.2,1.16,472,408,110,0.82,0.71,0.19,30,90,58,61,0.16,0.10
Nozz,2834,Australia,1.13,207.7,460,139.7,1.10,322,292,248,0.70,0.63,0.54,30,32,32,50,0.07,0.07
Bob,2850,Australia,1.12,209.8,2570,142.6,1.28,1980,1550,805,0.77,0.60,0.31,33,180,100,64,0.07,0.04
ezk,37532,Australia,1.11,237.6,518,154.2,1.07,420,394,136,0.81,0.76,0.26,17,62,64,49,0.12,0.12
AZN Zauqk,49896,Oceania,1.09,210.9,690,140.3,1.13,525,465,210,0.76,0.67,0.30,22,54,39,58,0.08,0.06
