nickname,id,country,rating,averageCombatScore,roundsPlayed,averageDamagePerRound,kdRatio,kills,deaths,assists,killsPerRound,deathsPerRound,assistsPerRound,headshotPercentage,firstBloods,firstDeaths,firstBloodSuccessRate,firstBloodPerRound,firstDeathPerRound
APK kaajak,67820,World,1.4,270.3,379,168.3,1.57,372,237,78,0.98,0.63,0.21,41,89,39,70,0.23,0.10
JuW,33670,Guatemala,1.38,277.4,458,167.8,1.50,440,294,91,0.96,0.64,0.20,23,103,56,65,0.22,0.12
AKV mmonch ,69707,World,1.36,261.3,355,171.6,1.71,340,199,91,0.96,0.56,0.26,29,37,19,66,0.10,0.05
Akai,9443,United Arab Emirates,1.32,274.2,1389,174.6,1.33,1343,1011,248,0.97,0.73,0.18,26,302,210,59,0.22,0.15
Dods,70023,World,1.31,256.3,518,163.5,1.26,456,363,174,0.88,0.70,0.34,29,85,64,57,0.16,0.12
sonder,15324,China,1.24,213.7,4120,132.7,1.07,2992,2784,2504,0.73,0.68,0.61,25,332,416,44,0.08,0.10
Toro,44653,World,1.23,225.4,1029,144.7,1.25,855,684,375,0.83,0.66,0.36,34,99,60,62,0.10,0.06
AKV Ivy,69711,World,1.23,224.2,355,141.2,1.40,284,203,140,0.80,0.57,0.39,34,49,27,64,0.14,0.08
Pxmihlog,59920,Vietnam,1.22,217.1,346,139.3,1.23,272,221,148,0.79,0.64,0.43,30,24,16,60,0.07,0.05
Mabuchi,41381,Qatar,1.21,258.0,620,165.7,1.28,551,430,105,0.89,0.69,0.17,26,103,76,58,0.17,0.12
ZMART,29346,Algeria,1.2,252.5,674,161.9,1.20,589,489,125,0.87,0.73,0.19,27,158,119,57,0.23,0.18
infiltrator,13084,Vietnam,1.19,255.7,1974,167.7,1.16,1770,1530,324,0.90,0.78,0.16,27,423,345,55,0.21,0.17
Wety,56008,World,1.19,253.5,816,168.3,1.18,726,615,150,0.89,0.75,0.18,30,141,132,52,0.17,0.16
moefcute,25388,Vietnam,1.19,252.0,514,162.6,1.19,466,392,74,0.91,0.76,0.14,33,94,100,48,0.18,0.19
Srx,45784,Saudi Arabia,1.18,260.2,2667,170.2,1.13,2355,2082,516,0.88,0.78,0.19,27,651,621,51,0.24,0.23
Fotzy,53406,World,1.18,228.1,657,153.8,1.10,540,492,231,0.82,0.75,0.35,38,81,51,61,0.12,0.08
MR x glyph,69526,World,1.18,225.7,314,146.9,1.12,244,218,125,0.78,0.69,0.40,29,28,22,56,0.09,0.07
avez,42367,Egypt,1.18,225.5,680,149.0,1.22,530,434,263,0.78,0.64,0.39,28,59,58,50,0.09,0.09
Moh,9819,Saudi Arabia,1.18,225.3,1422,145.1,1.31,1148,876,421,0.81,0.62,0.30,28,160,122,57,0.11,0.09
Dario Peek,54654,World,1.17,247.7,2310,159.5,1.13,1965,1735,525,0.85,0.75,0.23,26,510,305,63,0.22,0.13
ALIVE,868,Israel,1.17,247.3,488,163.0,1.26,429,341,77,0.88,0.70,0.16,27,84,73,54,0.17,0.15
maple,47791,China,1.17,244.3,1688,149.8,1.13,1420,1252,312,0.84,0.74,0.18,21,392,324,55,0.23,0.19
SimonD4rk,1353,Belarus,1.17,241.3,2214,157.4,1.29,1905,1473,396,0.86,0.67,0.18,22,369,327,53,0.17,0.15
Suka,14024,Vietnam,1.17,223.4,692,143.5,1.09,534,488,300,0.77,0.71,0.43,26,80,76,51,0.12,0.11
9Z mozen,69516,World,1.17,219.2,448,145.9,1.27,353,278,160,0.79,0.62,0.36,30,31,18,63,0.07,0.04
6K Mephist0,69520,World,1.16,254.3,562,163.3,1.14,492,433,99,0.88,0.77,0.18,24,116,100,54,0.21,0.18
Hyzee,2693,Vietnam,1.16,225.9,438,148.9,1.12,348,310,154,0.79,0.71,0.35,40,44,28,61,0.10,0.06
WinteryRook,5711,Belarus,1.16,219.4,1476,137.9,1.18,1144,966,508,0.78,0.65,0.34,30,172,156,52,0.12,0.11
lassitude,45798,World,1.16,217.0,480,143.3,1.15,374,325,154,0.78,0.68,0.32,35,42,25,63,0.09,0.05
zeddy,189,Belarus,1.16,208.0,412,132.9,1.22,305,250,187,0.74,0.61,0.45,24,38,41,48,0.09,0.10
AKV LiNLiN ,69712,World,1.16,203.5,355,135.4,1.13,251,223,183,0.71,0.63,0.52,35,32,22,59,0.09,0.06
7ssk7,236,Belarus,1.16,189.7,680,117.0,1.23,468,381,385,0.69,0.56,0.57,30,40,36,53,0.06,0.05
IceyKL,34699,Guatemala,1.15,213.7,1086,133.6,1.19,846,708,384,0.78,0.65,0.35,28,72,72,50,0.07,0.07
KHaaLiD,9818,Saudi Arabia,1.15,210.8,1422,140.7,1.18,1044,885,589,0.73,0.62,0.41,31,120,98,55,0.08,0.07
Zneva,35613,Israel,1.14,221.9,828,144.2,1.21,675,558,192,0.82,0.67,0.23,30,69,75,48,0.08,0.09
lazylion,19885,Vietnam,1.14,220.8,3850,146.4,1.22,2935,2415,1180,0.76,0.63,0.31,25,395,290,58,0.10,0.08
RGS Melsm ,69727,World,1.14,207.3,490,134.1,1.07,354,330,229,0.72,0.67,0.47,23,56,53,51,0.11,0.11
Fr1,5822,United Arab Emirates,1.13,249.2,2874,158.3,1.14,2520,2208,339,0.88,0.77,0.12,34,678,615,52,0.24,0.21
ExiT,26403,Saudi Arabia,1.13,236.7,1632,153.9,1.18,1358,1153,369,0.83,0.71,0.23,24,229,207,53,0.14,0.13
jas0n,45242,China,1.13,228.6,2522,150.4,1.27,2080,1638,442,0.82,0.65,0.18,26,364,299,55,0.14,0.12
